community_area,community_name,incidents,arrests,total_population,arrest_rate,incidents_per_100k,incident_rank,per_100k_rank,arrest_rate_rank
25,Austin,61485,10630,100278,17.29,61314.55,1,25,7
8,Near North Side,52816,7587,91635,14.36,57637.37,2,29,17
28,Near West Side,48192,4774,65370,9.91,73721.89,3,17,53
43,South Shore,41232,4335,46276,10.51,89100.18,4,12,44
32,Loop,40385,7376,38284,18.26,105487.93,5,6,6
24,West Town,35829,2799,86453,7.81,41443.33,6,39,67
29,North Lawndale,33645,7879,30355,23.42,110838.41,7,4,4
23,Humboldt Park,32470,8206,55015,25.27,59020.27,8,28,2
71,Auburn Gresham,32039,3973,46483,12.4,68926.27,9,23,27
69,Greater Grand Crossing,31008,4159,29052,13.41,106732.76,10,5,24
6,Lake View,30052,2593,90652,8.63,33150.95,11,45,64
44,Chatham,29074,3488,31440,12.0,92474.55,12,9,32
49,Roseland,28432,4141,37660,14.56,75496.55,13,15,14
66,Chicago Lawn,24823,3593,52245,14.47,47512.68,14,34,15
68,Englewood,24821,3879,21337,15.63,116328.44,15,3,12
67,West Englewood,23488,3896,25971,16.59,90439.34,16,11,11
22,Logan Square,22979,2629,71354,11.44,32204.22,17,47,36
19,Belmont Cragin,21406,3046,73988,14.23,28931.72,18,52,18
3,Uptown,20385,2451,52674,12.02,38700.31,19,42,31
1,Rogers Park,20213,2858,53169,14.14,38016.51,20,43,19
46,South Chicago,20141,2158,29072,10.71,69279.72,21,22,42
30,South Lawndale,19639,3313,69554,16.87,28235.62,22,55,10
61,New City,19508,2944,40843,15.09,47763.39,23,33,13
26,West Garfield Park,19477,5400,16345,27.73,119161.82,24,2,1
27,East Garfield Park,19440,3747,19855,19.27,97909.85,25,7,5
7,Lincoln Park,18728,1073,62067,5.73,30173.84,26,49,75
2,West Ridge,18064,1661,79220,9.2,22802.32,27,69,58
53,West Pullman,17518,2364,25159,13.49,69629.16,28,21,22
42,Woodlawn,17336,2081,24437,12.0,70941.6,29,18,32
38,Grand Boulevard,17316,1803,24808,10.41,69800.06,30,20,45
15,Portage Park,15378,2224,64201,14.46,23952.9,31,63,16
77,Edgewater,15305,1554,47484,10.15,32231.91,32,46,49
73,Washington Heights,14635,1820,26310,12.44,55625.24,33,31,26
35,Douglas,14062,1487,18629,10.57,75484.46,34,16,43
31,Lower West Side,14016,1619,34177,11.55,41010.04,35,40,35
16,Irving Park,12716,1273,53535,10.01,23752.69,36,64,52
33,Near South Side,12266,1688,26307,13.76,46626.37,37,36,21
40,Washington Park,11711,1390,12362,11.87,94733.86,38,8,34
14,Albany Park,11466,1312,47830,11.44,23972.4,39,62,36
41,Hyde Park,11295,593,24092,5.25,46882.78,40,35,77
63,Gage Park,10778,1337,34650,12.4,31105.34,41,48,27
70,Ashburn,10687,755,42842,7.06,24945.15,42,59,72
58,Brighton Park,10471,1136,42360,10.85,24719.07,43,60,40
21,Avondale,10426,1126,36350,10.8,28682.26,44,53,41
56,Garfield Ridge,10265,1384,36265,13.48,28305.53,45,54,23
4,Lincoln Square,9877,993,42180,10.05,23416.31,46,67,51
75,Morgan Park,9398,1200,21288,12.77,44146.94,47,37,25
39,Kenwood,9355,587,14368,6.27,65109.97,48,24,73
51,South Deering,9055,987,15100,10.9,59966.89,49,26,39
76,Ohare,8546,2043,16281,23.91,52490.63,50,32,3
65,West Lawn,8476,871,32451,10.28,26119.38,51,57,47
17,Dunning,8068,730,42548,9.05,18962.11,52,71,63
60,Bridgeport,7800,788,33012,10.1,23627.77,53,65,50
48,Calumet Heights,6894,588,12078,8.53,57078.99,54,30,65
20,Hermosa,6870,953,23200,13.87,29612.07,55,50,20
5,North Center,6533,360,35782,5.51,18257.78,56,73,76
52,East Side,6369,623,23629,9.78,26954.17,57,56,54
10,Norwood Park,6154,500,40074,8.12,15356.59,58,74,66
54,Riverdale,5939,571,7740,9.61,76731.27,59,13,56
45,Avalon Park,5690,519,9492,9.12,59945.22,60,27,60
34,Armour Square,5495,674,13149,12.27,41790.25,61,38,30
64,Clearing,5339,398,24710,7.45,21606.64,62,70,70
50,Pullman,5212,898,6851,17.23,76076.49,63,14,9
11,Jefferson Park,5019,566,26991,11.28,18595.09,64,72,38
57,Archer Heights,4930,507,13875,10.28,35531.53,65,44,47
13,North Park,4672,425,19259,9.1,24258.79,66,61,62
62,West Elsdon,4623,478,18201,10.34,25399.7,67,58,46
72,Beverly,4621,441,19811,9.54,23325.43,68,68,57
59,Mckinley Park,4521,557,15400,12.32,29357.14,69,51,29
36,Oakland,4014,309,4373,7.7,91790.53,70,10,68
55,Hegewisch,3582,271,8895,7.57,40269.81,71,41,69
37,Fuller Park,3323,574,2186,17.27,152012.81,72,1,8
18,Montclare,3239,296,13755,9.14,23547.8,73,66,59
74,Mount Greenwood,2670,258,19107,9.66,13973.94,74,75,55
12,Forest Glen,2591,154,19763,5.94,13110.36,75,76,74
47,Burnside,1568,143,2229,9.12,70345.45,76,19,60
9,Edison Park,1405,102,11398,7.26,12326.72,77,77,71
