year,primary_type,incidents,arrests,arrest_rate
2021,Arson,530,48,9.06
2021,Assault,20341,1830,9.0
2021,Battery,40473,5787,14.3
2021,Burglary,6662,312,4.68
2021,Concealed Carry License Violation,173,167,96.53
2021,Criminal Damage,25092,879,3.5
2021,Criminal Sexual Assault,1541,90,5.84
2021,Criminal Trespass,3406,997,29.27
2021,Deceptive Practice,17954,241,1.34
2021,Gambling,13,12,92.31
2021,Homicide,813,297,36.53
2021,Human Trafficking,11,2,18.18
2021,Interference With Public Officer,314,265,84.39
2021,Intimidation,124,4,3.23
2021,Kidnapping,87,5,5.75
2021,Liquor Law Violation,184,184,100.0
2021,Motor Vehicle Theft,10603,379,3.57
2021,Narcotics,5419,5357,98.86
2021,Non-Criminal,4,1,25.0
2021,Obscenity,51,36,70.59
2021,Offense Involving Children,1982,199,10.04
2021,Other Narcotic Violation,2,1,50.0
2021,Other Offense,13957,1486,10.65
2021,Prostitution,95,94,98.95
2021,Public Indecency,4,4,100.0
2021,Public Peace Violation,603,242,40.13
2021,Robbery,7921,503,6.35
2021,Sex Offense,1124,89,7.92
2021,Stalking,370,22,5.95
2021,Theft,40815,1553,3.8
2021,Weapons Violation,8979,5567,62.0
2022,Arson,422,42,9.95
2022,Assault,20814,2010,9.66
2022,Battery,40959,5971,14.58
2022,Burglary,7595,370,4.87
2022,Concealed Carry License Violation,177,170,96.05
2022,Criminal Damage,27247,899,3.3
2022,Criminal Sexual Assault,1613,89,5.52
2022,Criminal Trespass,4221,1245,29.5
2022,Deceptive Practice,17177,305,1.78
2022,Gambling,9,8,88.89
2022,Homicide,737,326,44.23
2022,Human Trafficking,12,0,0.0
2022,Interference With Public Officer,392,346,88.27
2022,Intimidation,184,3,1.63
2022,Kidnapping,118,11,9.32
2022,Liquor Law Violation,203,200,98.52
2022,Motor Vehicle Theft,21471,596,2.78
2022,Narcotics,4757,4645,97.65
2022,Non-Criminal,5,2,40.0
2022,Obscenity,48,28,58.33
2022,Offense Involving Children,1909,182,9.53
2022,Other Narcotic Violation,7,3,42.86
2022,Other Offense,14623,2093,14.31
2022,Prostitution,283,280,98.94
2022,Public Indecency,5,4,80.0
2022,Public Peace Violation,712,301,42.28
2022,Robbery,8966,561,6.26
2022,Sex Offense,1243,107,8.61
2022,Stalking,454,28,6.17
2022,Theft,54895,2029,3.7
2022,Weapons Violation,8781,5394,61.43
2023,Arson,511,56,10.96
2023,Assault,22632,2329,10.29
2023,Battery,44255,7003,15.82
2023,Burglary,7489,446,5.96
2023,Concealed Carry License Violation,205,196,95.61
2023,Criminal Damage,30091,942,3.13
2023,Criminal Sexual Assault,1684,104,6.18
2023,Criminal Trespass,4722,1324,28.04
2023,Deceptive Practice,17540,749,4.27
2023,Gambling,15,15,100.0
2023,Homicide,638,270,42.32
2023,Human Trafficking,11,0,0.0
