year,community_area,primary_type,not_arrests,arrests,incidents,community_name,acs_year,total_population,arrest_rate,incidents_per_100k
2021,1,Arson,6,0,6,Rogers Park,2023,53169,0.0,11.28
2021,1,Assault,251,25,276,Rogers Park,2023,53169,9.06,519.1
2021,1,Battery,557,118,675,Rogers Park,2023,53169,17.48,1269.54
2021,1,Burglary,78,4,82,Rogers Park,2023,53169,4.88,154.23
2021,1,Criminal Damage,407,16,423,Rogers Park,2023,53169,3.78,795.58
2021,1,Criminal Sexual Assault,25,1,26,Rogers Park,2023,53169,3.85,48.9
2021,1,Criminal Trespass,32,22,54,Rogers Park,2023,53169,40.74,101.56
2021,1,Deceptive Practice,284,2,286,Rogers Park,2023,53169,0.7,537.91
2021,1,Homicide,0,2,2,Rogers Park,2023,53169,100.0,3.76
2021,1,Interference With Public Officer,2,4,6,Rogers Park,2023,53169,66.67,11.28
2021,1,Intimidation,2,1,3,Rogers Park,2023,53169,33.33,5.64
2021,1,Liquor Law Violation,0,4,4,Rogers Park,2023,53169,100.0,7.52
2021,1,Motor Vehicle Theft,127,4,131,Rogers Park,2023,53169,3.05,246.38
2021,1,Narcotics,0,43,43,Rogers Park,2023,53169,100.0,80.87
2021,1,Offense Involving Children,14,4,18,Rogers Park,2023,53169,22.22,33.85
2021,1,Other Offense,181,22,203,Rogers Park,2023,53169,10.84,381.8
2021,1,Public Peace Violation,7,3,10,Rogers Park,2023,53169,30.0,18.81
2021,1,Robbery,160,9,169,Rogers Park,2023,53169,5.33,317.85
2021,1,Sex Offense,21,1,22,Rogers Park,2023,53169,4.55,41.38
2021,1,Stalking,7,3,10,Rogers Park,2023,53169,30.0,18.81
2021,1,Theft,836,60,896,Rogers Park,2023,53169,6.7,1685.19
2021,1,Weapons Violation,17,30,47,Rogers Park,2023,53169,63.83,88.4
2021,2,Arson,5,1,6,West Ridge,2023,79220,16.67,7.57
2021,2,Assault,189,23,212,West Ridge,2023,79220,10.85,267.61
2021,2,Battery,450,83,533,West Ridge,2023,79220,15.57,672.81
2021,2,Burglary,106,9,115,West Ridge,2023,79220,7.83,145.17
2021,2,Concealed Carry License Violation,0,1,1,West Ridge,2023,79220,100.0,1.26
2021,2,Criminal Damage,405,7,412,West Ridge,2023,79220,1.7,520.07
2021,2,Criminal Sexual Assault,19,4,23,West Ridge,2023,79220,17.39,29.03
2021,2,Criminal Trespass,39,11,50,West Ridge,2023,79220,22.0,63.12
2021,2,Deceptive Practice,405,3,408,West Ridge,2023,79220,0.74,515.02
2021,2,Homicide,1,1,2,West Ridge,2023,79220,50.0,2.52
2021,2,Interference With Public Officer,1,0,1,West Ridge,2023,79220,0.0,1.26
2021,2,Liquor Law Violation,0,7,7,West Ridge,2023,79220,100.0,8.84
2021,2,Motor Vehicle Theft,109,8,117,West Ridge,2023,79220,6.84,147.69
2021,2,Narcotics,1,18,19,West Ridge,2023,79220,94.74,23.98
2021,2,Obscenity,0,2,2,West Ridge,2023,79220,100.0,2.52
2021,2,Offense Involving Children,22,3,25,West Ridge,2023,79220,12.0,31.56
2021,2,Other Offense,173,8,181,West Ridge,2023,79220,4.42,228.48
2021,2,Prostitution,0,1,1,West Ridge,2023,79220,100.0,1.26
2021,2,Public Peace Violation,5,1,6,West Ridge,2023,79220,16.67,7.57
2021,2,Robbery,90,10,100,West Ridge,2023,79220,10.0,126.23
2021,2,Sex Offense,20,4,24,West Ridge,2023,79220,16.67,30.3
2021,2,Stalking,9,0,9,West Ridge,2023,79220,0.0,11.36
2021,2,Theft,715,20,735,West Ridge,2023,79220,2.72,927.8
2021,2,Weapons Violation,11,20,31,West Ridge,2023,79220,64.52,39.13
2021,3,Arson,5,2,7,Uptown,2023,52674,28.57,13.29
2021,3,Assault,278,44,322,Uptown,2023,52674,13.66,611.31
2021,3,Battery,553,101,654,Uptown,2023,52674,15.44,1241.6
2021,3,Burglary,85,13,98,Uptown,2023,52674,13.27,186.05
2021,3,Concealed Carry License Violation,0,2,2,Uptown,2023,52674,100.0,3.8
2021,3,Criminal Damage,290,11,301,Uptown,2023,52674,3.65,571.44
2021,3,Criminal Sexual Assault,32,2,34,Uptown,2023,52674,5.88,64.55
2021,3,Criminal Trespass,40,15,55,Uptown,2023,52674,27.27,104.42
2021,3,Deceptive Practice,371,3,374,Uptown,2023,52674,0.8,710.03
2021,3,Homicide,1,1,2,Uptown,2023,52674,50.0,3.8
