month,primary_type,incidents,year,month_num
2021-01-01,All Types,16306,2021,1
2021-01-01,Arson,39,2021,1
2021-01-01,Assault,1339,2021,1
2021-01-01,Battery,2780,2021,1
2021-01-01,Burglary,486,2021,1
2021-01-01,Concealed Carry License Violation,11,2021,1
2021-01-01,Criminal Damage,1727,2021,1
2021-01-01,Criminal Sexual Assault,94,2021,1
2021-01-01,Criminal Trespass,254,2021,1
2021-01-01,Deceptive Practice,2663,2021,1
2021-01-01,Homicide,56,2021,1
2021-01-01,Human Trafficking,3,2021,1
2021-01-01,Interference With Public Officer,34,2021,1
2021-01-01,Intimidation,9,2021,1
2021-01-01,Kidnapping,3,2021,1
2021-01-01,Liquor Law Violation,5,2021,1
2021-01-01,Motor Vehicle Theft,801,2021,1
2021-01-01,Narcotics,509,2021,1
2021-01-01,Obscenity,9,2021,1
2021-01-01,Offense Involving Children,184,2021,1
2021-01-01,Other Offense,1036,2021,1
2021-01-01,Prostitution,4,2021,1
2021-01-01,Public Indecency,1,2021,1
2021-01-01,Public Peace Violation,46,2021,1
2021-01-01,Robbery,728,2021,1
2021-01-01,Sex Offense,82,2021,1
2021-01-01,Stalking,27,2021,1
2021-01-01,Theft,2670,2021,1
2021-01-01,Weapons Violation,706,2021,1
2021-02-01,All Types,13156,2021,2
2021-02-01,Arson,23,2021,2
2021-02-01,Assault,1284,2021,2
2021-02-01,Battery,2438,2021,2
2021-02-01,Burglary,352,2021,2
2021-02-01,Concealed Carry License Violation,15,2021,2
2021-02-01,Criminal Damage,1457,2021,2
2021-02-01,Criminal Sexual Assault,96,2021,2
2021-02-01,Criminal Trespass,214,2021,2
2021-02-01,Deceptive Practice,1675,2021,2
2021-02-01,Homicide,39,2021,2
2021-02-01,Human Trafficking,1,2021,2
2021-02-01,Interference With Public Officer,20,2021,2
2021-02-01,Intimidation,4,2021,2
2021-02-01,Kidnapping,6,2021,2
2021-02-01,Liquor Law Violation,18,2021,2
2021-02-01,Motor Vehicle Theft,630,2021,2
2021-02-01,Narcotics,608,2021,2
2021-02-01,Non-Criminal,1,2021,2
2021-02-01,Obscenity,6,2021,2
2021-02-01,Offense Involving Children,121,2021,2
2021-02-01,Other Offense,956,2021,2
2021-02-01,Prostitution,7,2021,2
2021-02-01,Public Indecency,1,2021,2
2021-02-01,Public Peace Violation,27,2021,2
2021-02-01,Robbery,479,2021,2
2021-02-01,Sex Offense,69,2021,2
2021-02-01,Stalking,18,2021,2
2021-02-01,Theft,2125,2021,2
2021-02-01,Weapons Violation,466,2021,2
2021-03-01,All Types,16211,2021,3
2021-03-01,Arson,49,2021,3
2021-03-01,Assault,1451,2021,3
2021-03-01,Battery,3103,2021,3
2021-03-01,Burglary,394,2021,3
2021-03-01,Concealed Carry License Violation,14,2021,3
2021-03-01,Criminal Damage,1896,2021,3
2021-03-01,Criminal Sexual Assault,133,2021,3
2021-03-01,Criminal Trespass,279,2021,3
2021-03-01,Deceptive Practice,1712,2021,3
2021-03-01,Gambling,1,2021,3
2021-03-01,Homicide,45,2021,3
2021-03-01,Interference With Public Officer,33,2021,3
2021-03-01,Intimidation,12,2021,3
2021-03-01,Kidnapping,10,2021,3
2021-03-01,Liquor Law Violation,10,2021,3
2021-03-01,Motor Vehicle Theft,787,2021,3
2021-03-01,Narcotics,816,2021,3
2021-03-01,Obscenity,8,2021,3
2021-03-01,Offense Involving Children,149,2021,3
2021-03-01,Other Narcotic Violation,1,2021,3
2021-03-01,Other Offense,1167,2021,3
2021-03-01,Prostitution,6,2021,3
2021-03-01,Public Peace Violation,46,2021,3
2021-03-01,Robbery,482,2021,3
2021-03-01,Sex Offense,83,2021,3
2021-03-01,Stalking,23,2021,3
2021-03-01,Theft,2740,2021,3
2021-03-01,Weapons Violation,761,2021,3
2021-04-01,All Types,15706,2021,4
2021-04-01,Arson,41,2021,4
2021-04-01,Assault,1602,2021,4
2021-04-01,Battery,3080,2021,4
2021-04-01,Burglary,416,2021,4
2021-04-01,Concealed Carry License Violation,15,2021,4
2021-04-01,Criminal Damage,1948,2021,4
2021-04-01,Criminal Sexual Assault,114,2021,4
2021-04-01,Criminal Trespass,271,2021,4
2021-04-01,Deceptive Practice,1326,2021,4
2021-04-01,Gambling,2,2021,4
2021-04-01,Homicide,55,2021,4
2021-04-01,Interference With Public Officer,21,2021,4
2021-04-01,Intimidation,14,2021,4
2021-04-01,Kidnapping,8,2021,4
2021-04-01,Liquor Law Violation,8,2021,4
2021-04-01,Motor Vehicle Theft,713,2021,4
2021-04-01,Narcotics,502,2021,4
2021-04-01,Non-Criminal,1,2021,4
2021-04-01,Obscenity,1,2021,4
2021-04-01,Offense Involving Children,171,2021,4
2021-04-01,Other Offense,1194,2021,4
2021-04-01,Public Peace Violation,46,2021,4
2021-04-01,Robbery,466,2021,4
2021-04-01,Sex Offense,76,2021,4
2021-04-01,Stalking,34,2021,4
2021-04-01,Theft,2802,2021,4
2021-04-01,Weapons Violation,779,2021,4
2021-05-01,All Types,17884,2021,5
2021-05-01,Arson,49,2021,5
2021-05-01,Assault,1800,2021,5
2021-05-01,Battery,3678,2021,5
2021-05-01,Burglary,472,2021,5
2021-05-01,Concealed Carry License Violation,12,2021,5
2021-05-01,Criminal Damage,2288,2021,5
2021-05-01,Criminal Sexual Assault,133,2021,5
2021-05-01,Criminal Trespass,272,2021,5
2021-05-01,Deceptive Practice,1326,2021,5
2021-05-01,Gambling,1,2021,5
2021-05-01,Homicide,66,2021,5
2021-05-01,Human Trafficking,3,2021,5
2021-05-01,Interference With Public Officer,26,2021,5
2021-05-01,Intimidation,16,2021,5
2021-05-01,Kidnapping,9,2021,5
2021-05-01,Liquor Law Violation,17,2021,5
2021-05-01,Motor Vehicle Theft,748,2021,5
2021-05-01,Narcotics,568,2021,5
2021-05-01,Non-Criminal,1,2021,5
2021-05-01,Obscenity,2,2021,5
2021-05-01,Offense Involving Children,207,2021,5
2021-05-01,Other Narcotic Violation,1,2021,5
2021-05-01,Other Offense,1349,2021,5
2021-05-01,Prostitution,11,2021,5
2021-05-01,Public Indecency,1,2021,5
2021-05-01,Public Peace Violation,47,2021,5
2021-05-01,Robbery,506,2021,5
2021-05-01,Sex Offense,100,2021,5
2021-05-01,Stalking,38,2021,5
2021-05-01,Theft,3272,2021,5
2021-05-01,Weapons Violation,865,2021,5
2021-06-01,All Types,18898,2021,6
2021-06-01,Arson,50,2021,6
2021-06-01,Assault,1905,2021,6
2021-06-01,Battery,3849,2021,6
2021-06-01,Burglary,509,2021,6
2021-06-01,Concealed Carry License Violation,18,2021,6
2021-06-01,Criminal Damage,2316,2021,6
2021-06-01,Criminal Sexual Assault,150,2021,6
2021-06-01,Criminal Trespass,279,2021,6
2021-06-01,Deceptive Practice,1538,2021,6
2021-06-01,Gambling,3,2021,6
2021-06-01,Homicide,85,2021,6
2021-06-01,Interference With Public Officer,28,2021,6
2021-06-01,Intimidation,10,2021,6
2021-06-01,Kidnapping,8,2021,6
2021-06-01,Liquor Law Violation,17,2021,6
2021-06-01,Motor Vehicle Theft,834,2021,6
2021-06-01,Narcotics,481,2021,6
2021-06-01,Obscenity,7,2021,6
2021-06-01,Offense Involving Children,177,2021,6
2021-06-01,Other Offense,1420,2021,6
2021-06-01,Prostitution,9,2021,6
2021-06-01,Public Peace Violation,65,2021,6
2021-06-01,Robbery,601,2021,6
2021-06-01,Sex Offense,97,2021,6
2021-06-01,Stalking,30,2021,6
2021-06-01,Theft,3504,2021,6
2021-06-01,Weapons Violation,908,2021,6
2021-07-01,All Types,19307,2021,7
2021-07-01,Arson,51,2021,7
2021-07-01,Assault,1956,2021,7
2021-07-01,Battery,3888,2021,7
2021-07-01,Burglary,556,2021,7
2021-07-01,Concealed Carry License Violation,16,2021,7
2021-07-01,Criminal Damage,2490,2021,7
2021-07-01,Criminal Sexual Assault,150,2021,7
2021-07-01,Criminal Trespass,308,2021,7
2021-07-01,Deceptive Practice,1349,2021,7
2021-07-01,Gambling,1,2021,7
2021-07-01,Homicide,112,2021,7
2021-07-01,Interference With Public Officer,26,2021,7
2021-07-01,Intimidation,9,2021,7
2021-07-01,Kidnapping,5,2021,7
2021-07-01,Liquor Law Violation,10,2021,7
2021-07-01,Motor Vehicle Theft,839,2021,7
2021-07-01,Narcotics,399,2021,7
2021-07-01,Obscenity,7,2021,7
2021-07-01,Offense Involving Children,174,2021,7
2021-07-01,Other Offense,1220,2021,7
2021-07-01,Prostitution,12,2021,7
2021-07-01,Public Peace Violation,70,2021,7
2021-07-01,Robbery,712,2021,7
2021-07-01,Sex Offense,109,2021,7
2021-07-01,Stalking,41,2021,7
2021-07-01,Theft,3965,2021,7
2021-07-01,Weapons Violation,832,2021,7
2021-08-01,All Types,18635,2021,8
2021-08-01,Arson,48,2021,8
2021-08-01,Assault,1872,2021,8
2021-08-01,Battery,3808,2021,8
2021-08-01,Burglary,599,2021,8
2021-08-01,Concealed Carry License Violation,16,2021,8
2021-08-01,Criminal Damage,2323,2021,8
2021-08-01,Criminal Sexual Assault,147,2021,8
2021-08-01,Criminal Trespass,283,2021,8
2021-08-01,Deceptive Practice,1342,2021,8
2021-08-01,Homicide,83,2021,8
2021-08-01,Interference With Public Officer,24,2021,8
2021-08-01,Intimidation,9,2021,8
2021-08-01,Kidnapping,9,2021,8
2021-08-01,Liquor Law Violation,9,2021,8
2021-08-01,Motor Vehicle Theft,911,2021,8
2021-08-01,Narcotics,357,2021,8
2021-08-01,Obscenity,2,2021,8
2021-08-01,Offense Involving Children,147,2021,8
2021-08-01,Other Offense,1136,2021,8
2021-08-01,Prostitution,1,2021,8
2021-08-01,Public Peace Violation,35,2021,8
2021-08-01,Robbery,655,2021,8
2021-08-01,Sex Offense,103,2021,8
2021-08-01,Stalking,29,2021,8
2021-08-01,Theft,3891,2021,8
2021-08-01,Weapons Violation,796,2021,8
2021-09-01,All Types,19299,2021,9
